review_id,feature,shopping_stage,pain_point,exploration_barrier,user_need,discovery_method,category_mentioned,sentiment,severity,exploration_banner
3,General Experience,Post-Purchase,High spending and delivery hassles.,Price Concern,Lower prices.,Unknown,Unknown,Positive,Low,
10,Offers,Selection,Unknown,Unknown,Keep good discounts.,Offers,Unknown,Positive,Low,
16,Delivery,Checkout,High delivery charges.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,High,
21,Recommendations,Discovery,Unknown,Unknown,Better recommendations.,Recommendations,Medicines,Positive,Low,
24,Pricing,Selection,Products are priced higher than other apps with extra fees.,Price Concern,Lower product prices.,Unknown,Personal Care,Negative,High,
25,Checkout,Checkout,No cash on delivery option available.,Trust,Cash on delivery.,Unknown,Unknown,Negative,Medium,
27,General Experience,Post-Purchase,Unknown,Unknown,Maintain product quality.,Unknown,Unknown,Positive,Low,
28,Inventory,Post-Purchase,Received expired products.,Trust,Better quality control.,Unknown,Unknown,Negative,High,
35,Delivery,Checkout,Unknown,Unknown,Free delivery.,Offers,Unknown,Positive,Low,
37,Pricing,Selection,Unknown,Unknown,Affordable prices.,Unknown,Unknown,Positive,Low,
39,Pricing,Selection,Price and quantity issues.,Price Concern,Fair pricing and clear quantities.,Unknown,Unknown,Negative,Medium,
41,General Experience,Post-Purchase,Received non-working product.,Trust,Reliable products.,Unknown,Electronics,Mixed,High,
44,Pricing,Selection,Prices are expensive compared to other quick commerce sites.,Price Concern,Competitive pricing.,Unknown,Unknown,Mixed,Medium,
47,Delivery,Checkout,Extra delivery charges on each product.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,High,
50,Delivery,Checkout,Extra delivery fees added to every order.,Price Concern,No extra delivery fees.,Unknown,Unknown,Negative,Medium,
51,Pricing,Selection,Products sold at prices higher than MRP.,Price Concern,Fair pricing within MRP limits.,Unknown,Unknown,Negative,High,
53,General Experience,Browsing,Unknown,Unknown,Easy shopping experience.,Homepage,Unknown,Positive,Low,
54,Inventory,Post-Purchase,Poor product quality provided.,Trust,Better product quality.,Unknown,Unknown,Negative,High,
55,Delivery,Delivery,Unknown,Unknown,Fast delivery.,Unknown,Groceries,Positive,Low,
58,General Experience,Browsing,Unknown,Unknown,Convenient shopping.,Unknown,Unknown,Positive,Low,
59,Delivery,Post-Purchase,Unknown,Unknown,Maintain fast delivery and fresh items.,Unknown,Groceries,Positive,Low,
62,Inventory,Post-Purchase,Received spoiled and poor quality items.,Trust,Better quality control for fresh produce.,Unknown,Groceries,Negative,High,
65,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
67,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
74,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
75,Pricing,Selection,Product prices are much higher than market.,Price Concern,Lower prices comparable to local markets.,Unknown,Groceries,Negative,High,
78,Inventory,Post-Purchase,Items cancelled due to shortage at last minute.,Unknown,Timely stock availability updates.,Unknown,Unknown,Negative,Medium,
82,Inventory,Post-Purchase,Unknown,Unknown,Consistent product quality.,Unknown,Unknown,Positive,Low,
83,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
84,Delivery,Discovery,Service not available in my city.,Lack of Awareness,Expand service to Bulandshahr.,Unknown,Unknown,Neutral,Medium,
85,Checkout,Post-Purchase,Customer support ignores missing items complaints.,Trust,Better customer support for missing items.,Unknown,Unknown,Negative,High,
87,Inventory,Post-Purchase,Fruits and vegetables are sometimes overripe.,Trust,Fresher fruits and vegetables.,Unknown,Groceries,Positive,Low,
88,Delivery,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
90,Checkout,Post-Purchase,Return and exchange policy is unhelpful.,Trust,Flexible return and replacement policy.,Unknown,Unknown,Negative,High,
92,Checkout,Post-Purchase,Strict no return policy creates bad experience.,Trust,Allow returns and exchanges easily.,Unknown,Unknown,Negative,High,
111,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
112,Checkout,Post-Purchase,Customer support closes chat during exchange requests.,Trust,Better dispute resolution and refund process.,Unknown,Unknown,Negative,High,
116,Checkout,Checkout,Only cash on delivery option is available.,App Experience,Multiple payment options at checkout.,Unknown,Unknown,Negative,Medium,
118,Inventory,Browsing,Some products are frequently out of stock.,Lack of Awareness,Better inventory availability.,Unknown,Unknown,Negative,Medium,
119,Inventory,Post-Purchase,Supplied old or expired materials.,Trust,Fresh and non-expired stock supply.,Unknown,Groceries,Negative,High,
128,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
129,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
